"","Ensemble_number","Drug","Predicted_concentration"
"1",1,"metformin",72.3823633123578
"2",1,"lactulose",58.0613721849198
"3",1,"gabapentin",20.4999733901095
"4",1,"ibuprofen",6.87288515887289
"5",1,"levetiracetam",4.05484958395728
"6",1,"mesalamine",3.23268588643321
"7",1,"metoprolol",2.61520202608762
"8",1,"bupropion",2.5128585882461
"9",1,"amoxicillin",2.4916470754595
"10",1,"aspirin",2.40124656270295
"11",1,"naproxen",2.27643738782244
"12",1,"acetaminophen",2.22920536792704
"13",1,"atorvastatin",2.04838711224687
"14",1,"losartan",2.02976439170389
"15",1,"valacyclovir",1.94722432502624
"16",1,"allopurinol",1.86103133964877
"17",1,"methocarbamol",1.7396272924218
"18",1,"divalproex sodium",1.65980638722584
"19",1,"oxcarbazepine",1.49244828928219
"20",1,"sertraline",1.48236706888924
"21",1,"sulfasalazine",1.44610487965258
"22",1,"gemfibrozil",1.42433252414057
"23",1,"albuterol",1.34726103026977
"24",1,"icosapent",1.31046113618582
"25",1,"diltiazem",1.19121971666814
"26",1,"trazodone",1.12689697557085
"27",1,"lisinopril",0.911182592284619
"28",1,"quetiapine",0.872678991905246
"29",1,"ranolazine",0.869143267633101
"30",1,"venlafaxine",0.846266026678566
"31",1,"pregabalin",0.840705455864877
"32",1,"omeprazole",0.839770857542696
"33",1,"cephalexin",0.834780553488978
"34",1,"ciprofloxacin",0.794353259701275
"35",1,"clopidogrel",0.773750081167807
"36",1,"acyclovir",0.766957362727756
"37",1,"lamotrigine",0.722232341954391
"38",1,"carbamazepine",0.675198338427817
"39",1,"hydroxychloroquine",0.65368430833542
"40",1,"celecoxib",0.615167002056677
"41",1,"furosemide",0.581166816047373
"42",1,"pantoprazole",0.57254077612568
"43",1,"labetalol",0.563889081366427
"44",1,"dorzolamide",0.557027485500498
"45",1,"simvastatin",0.552800127149162
"46",1,"fenofibrate",0.529864316143298
"47",1,"ranitidine",0.516476102966115
"48",1,"tramadol",0.51191594943886
"49",1,"hydrochlorothiazide",0.511688335872161
"50",1,"hydralazine",0.485300434851481
"51",1,"topiramate",0.484546496514954
"52",1,"duloxetine",0.476235634132443
"53",1,"verapamil",0.459154368691616
"54",1,"mycophenolate mofetil",0.453821351578424
"55",1,"nabumetone",0.445405817388169
"56",1,"sitagliptin",0.435276459176355
"57",1,"atenolol",0.429497117671244
"58",1,"valsartan",0.393418074706843
"59",1,"irbesartan",0.38745579088401
"60",1,"pravastatin",0.357902205642159
"61",1,"amiodarone",0.342874496690699
"62",1,"carvedilol",0.320873823144791
"63",1,"spironolactone",0.281877971132977
"64",1,"hydrocodone",0.276952374736364
"65",1,"metaxalone",0.276081985501878
"66",1,"amlodipine",0.274530936114756
"67",1,"fluoxetine",0.259806398703019
"68",1,"rosuvastatin",0.253617025753822
"69",1,"guaifenesin",0.243837646003543
"70",1,"docusate",0.237676828376778
"71",1,"propranolol",0.230149397930078
"72",1,"citalopram",0.226847988704466
"73",1,"phenytoin",0.222383932244863
"74",1,"diphenhydramine",0.20472646167998
"75",1,"hydroxyzine",0.203476853191258
"76",1,"penicillin v potassium",0.197321003672535
"77",1,"doxycycline",0.18662535336324
"78",1,"azithromycin",0.186112570258731
"79",1,"metronidazole",0.182201369402928
"80",1,"flecainide",0.17568494664568
