"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"1","ibuprofen","DTXSID5020732","LC50",39100,"ug/L","Flatworm","Worms",206.285
"2","ibuprofen","DTXSID5020732","LC50",11100,"ug/L","Flatworm","Worms",206.285
"3","ibuprofen","DTXSID5020732","LC50",16800,"ug/L","Flatworm","Worms",206.285
"4","ibuprofen","DTXSID5020732","LC50",17080,"ug/L","Gekielte Plate Snail","Molluscs",206.285
"5","ibuprofen","DTXSID5020732","LC50",19590,"ug/L","Fairy Shrimp","Crustaceans",206.285
"6","ibuprofen","DTXSID5020732","LC50",73300,"ug/L","Flatworm","Worms",206.285
"7","ibuprofen","DTXSID5020732","LC50",32,"ug/L","Water Flea","Crustaceans",206.285
"8","ibuprofen","DTXSID5020732","LC50",22360,"ug/L","Hydra","Invertebrates",206.285
"9","ibuprofen","DTXSID5020732","LC50",124400,"ug/L","Water Flea","Crustaceans",206.285
"10","ibuprofen","DTXSID5020732","LC50",132600,"ug/L","Water Flea","Crustaceans",206.285
"11","ibuprofen","DTXSID5020732","LC50",19600,"ug/L","Fairy Shrimp","Crustaceans",206.285
"12","ibuprofen","DTXSID5020732","LC50",22400,"ug/L","Bean Blossom Thrips","Insects/Spiders",206.285
"13","ibuprofen","DTXSID5020732","LC50",124000,"ug/L","Water Flea","Crustaceans",206.285
"14","ibuprofen","DTXSID5020732","LC50",133000,"ug/L","Water Flea","Crustaceans",206.285
"15","acetaminophen","DTXSID2020006","LC50",32,"ug/L","Water Flea","Crustaceans",151.165
"16","acetaminophen","DTXSID2020006","LC50",29628.3,"ug/L","Fairy Shrimp","Crustaceans",151.165
"17","acetaminophen","DTXSID2020006","LC50",121000,"ug/L","Rotifer","Invertebrates",151.165
"18","acetaminophen","DTXSID2020006","LC50",150800,"ug/L","Flatworm","Worms",151.165
"19","acetaminophen","DTXSID2020006","LC50",185400,"ug/L","Rotifer","Invertebrates",151.165
"20","acetaminophen","DTXSID2020006","LC50",316200,"ug/L","Flatworm","Worms",151.165
"21","acetaminophen","DTXSID2020006","LC50",319000,"ug/L","Rotifer","Invertebrates",151.165
"22","acetaminophen","DTXSID2020006","LC50",371500,"ug/L","Flatworm","Worms",151.165
"23","acetaminophen","DTXSID2020006","LC50",577450,"ug/L","Brine Shrimp","Crustaceans",151.165
"24","acetaminophen","DTXSID2020006","LC50",858600,"ug/L","Flatworm","Worms",151.165
"25","acetaminophen","DTXSID2020006","LC50",5305890,"ug/L","Rotifer","Invertebrates",151.165
"26","acetaminophen","DTXSID2020006","LC50",2000,"ug/L","Ciliate","Invertebrates",151.165
"27","acetaminophen","DTXSID2020006","LC50",8000,"ug/L","Protozoan Phylum","Invertebrates",151.165
"28","acetaminophen","DTXSID2020006","LC50",20100,"ug/L","Water Flea","Crustaceans",151.165
"29","acetaminophen","DTXSID2020006","LC50",29628.3,"ug/L","Fairy Shrimp","Crustaceans",151.165
"30","acetaminophen","DTXSID2020006","LC50",577450,"ug/L","Brine Shrimp","Crustaceans",151.165
"31","acetaminophen","DTXSID2020006","LC50",1600000,"ug/L","Yellow Fever Mosquito","Insects/Spiders",151.165
"32","acetaminophen","DTXSID2020006","LC50",1700000,"ug/L","Yellow Fever Mosquito","Insects/Spiders",151.165
"33","acetaminophen","DTXSID2020006","LC50",1980000,"ug/L","Yellow Fever Mosquito","Insects/Spiders",151.165
"34","acetaminophen","DTXSID2020006","LC50",2040000,"ug/L","Yellow Fever Mosquito","Insects/Spiders",151.165
"35","acetaminophen","DTXSID2020006","LC50",2500000,"ug/L","Yellow Fever Mosquito","Insects/Spiders",151.165
"36","acetaminophen","DTXSID2020006","LC50",3748890,"ug/L","Rotifer","Invertebrates",151.165
"37","acetaminophen","DTXSID2020006","LC50",5305890,"ug/L","Rotifer","Invertebrates",151.165
"38","acetaminophen","DTXSID2020006","LC50",20100,"ug/L","Water Flea","Crustaceans",151.165
"39","acetaminophen","DTXSID2020006","LC50",29600,"ug/L","Fairy Shrimp","Crustaceans",151.165
"40","acetaminophen","DTXSID2020006","LC50",577000,"ug/L","Brine Shrimp","Crustaceans",151.165
"41","acetaminophen","DTXSID2020006","LC50",3750000,"ug/L","Rotifer","Invertebrates",151.165
"42","acetaminophen","DTXSID2020006","LC50",5310000,"ug/L","Rotifer","Invertebrates",151.165
"43","ciprofloxacin","DTXSID8022824","LC50",4000,"ug/L","Water Flea","Crustaceans",331.347
"44","ciprofloxacin","DTXSID8022824","LC50",14000,"ug/L","Water Flea","Crustaceans",331.347
"45","ciprofloxacin","DTXSID8022824","LC50",36000,"ug/L","Water Flea","Crustaceans",331.347
"46","ciprofloxacin","DTXSID8022824","LC50",1e+06,"ug/L","Flatworm","Worms",331.347
"47","cephalexin","DTXSID9022780","LC50",1e+06,"ug/L","Flatworm","Worms",347.39
"48","naproxen","DTXSID4040686","LC50",6900,"ug/L","Flatworm","Worms",230.263
"49","naproxen","DTXSID4040686","LC50",7200,"ug/L","Flatworm","Worms",230.263
"50","naproxen","DTXSID4040686","LC50",8600,"ug/L","Flatworm","Worms",230.263
"51","naproxen","DTXSID4040686","LC50",50000,"ug/L","Flatworm","Worms",230.263
"52","naproxen","DTXSID4040686","LC50",32,"ug/L","Water Flea","Crustaceans",230.263
"53","naproxen","DTXSID4040686","LC50",22360,"ug/L","Hydra","Invertebrates",230.263
"54","naproxen","DTXSID4040686","LC50",36000,"ug/L","Ciliate","Invertebrates",230.263
"55","naproxen","DTXSID4040686","LC50",60000,"ug/L","Rotifer","Invertebrates",230.263
"56","naproxen","DTXSID4040686","LC50",82000,"ug/L","Water Flea","Crustaceans",230.263
"57","naproxen","DTXSID4040686","LC50",22400,"ug/L","Bean Blossom Thrips","Insects/Spiders",230.263
"58","naproxen","DTXSID4040686","LC50",60000,"ug/L","Rotifer","Invertebrates",230.263
"59","naproxen","DTXSID4040686","LC50",82000,"ug/L","Water Flea","Crustaceans",230.263
"60","aspirin","DTXSID5020108","LC50",93800,"ug/L","Flatworm","Worms",180.159
"61","aspirin","DTXSID5020108","LC50",95900,"ug/L","Flatworm","Worms",180.159
"62","aspirin","DTXSID5020108","LC50",100200,"ug/L","Flatworm","Worms",180.159
"63","aspirin","DTXSID5020108","LC50",141426,"ug/L","Rotifer","Invertebrates",180.159
"64","aspirin","DTXSID5020108","LC50",177998,"ug/L","Fairy Shrimp","Crustaceans",180.159
"65","aspirin","DTXSID5020108","LC50",381939,"ug/L","Brine Shrimp","Crustaceans",180.159
"66","aspirin","DTXSID5020108","LC50",134219,"ug/L","Rotifer","Invertebrates",180.159
"67","aspirin","DTXSID5020108","LC50",141426,"ug/L","Rotifer","Invertebrates",180.159
"68","aspirin","DTXSID5020108","LC50",177998,"ug/L","Fairy Shrimp","Crustaceans",180.159
"69","aspirin","DTXSID5020108","LC50",381939,"ug/L","Brine Shrimp","Crustaceans",180.159
"70","metoprolol","DTXSID2023309","LC50",8800,"ug/L","Water Flea","Crustaceans",267.369
"71","metoprolol","DTXSID2023309","LC50",63900,"ug/L","Water Flea","Crustaceans",267.369
"72","metoprolol","DTXSID2023309","LC50",1e+05,"ug/L","Scud","Crustaceans",267.369
"73","metoprolol","DTXSID2023309","LC50",8800,"ug/L","Water Flea","Crustaceans",267.369
"74","metoprolol","DTXSID2023309","LC50",63900,"ug/L","Water Flea","Crustaceans",267.369
"75","atorvastatin","DTXSID8029868","LC50",1500,"ug/L","Scud","Crustaceans",558.65
"76","atorvastatin","DTXSID8029868","LC50",14300,"ug/L","Midge","Insects/Spiders",558.65
