"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"1","ibuprofen","DTXSID5020732","LC50",680,"ug/L","Fathead Minnow","Fish",206.285
"2","ibuprofen","DTXSID5020732","LC50",1e+05,"ug/L","Japanese Medaka","Fish",206.285
"3","ibuprofen","DTXSID5020732","LC50",142000,"ug/L","Carp, Hawk Fish","Fish",206.285
"4","amoxicillin","DTXSID3037044","LC50",1e+06,"ug/L","Japanese Medaka","Fish",365.4
"5","acetaminophen","DTXSID2020006","LC50",33900,"ug/L","Mouse","Mammals",151.165
"6","acetaminophen","DTXSID2020006","LC50",814000,"ug/L","Fathead Minnow","Fish",151.165
"7","acetaminophen","DTXSID2020006","LC50",49600,"ug/L","African Clawed Frog","Amphibians",151.165
"8","acetaminophen","DTXSID2020006","LC50",160000,"ug/L","Japanese Medaka","Fish",151.165
"9","acetaminophen","DTXSID2020006","LC50",191100,"ug/L","African Clawed Frog","Amphibians",151.165
"10","acetaminophen","DTXSID2020006","LC50",560822,"ug/L","Zebra Danio","Fish",151.165
"11","acetaminophen","DTXSID2020006","LC50",1189670,"ug/L","Zebra Danio","Fish",151.165
"12","acetaminophen","DTXSID2020006","LC50",1499560,"ug/L","Zebra Danio","Fish",151.165
"13","acetaminophen","DTXSID2020006","LC50",1529790,"ug/L","Zebra Danio","Fish",151.165
"14","acetaminophen","DTXSID2020006","LC50",561000,"ug/L","Zebra Danio","Fish",151.165
"15","acetaminophen","DTXSID2020006","LC50",812000,"ug/L","Fathead Minnow","Fish",151.165
"16","acetaminophen","DTXSID2020006","LC50",814000,"ug/L","Fathead Minnow","Fish",151.165
"17","acetaminophen","DTXSID2020006","LC50",1190000,"ug/L","Zebra Danio","Fish",151.165
"18","ciprofloxacin","DTXSID8022824","LC50",1e+05,"ug/L","Zebra Danio","Fish",331.347
"19","ciprofloxacin","DTXSID8022824","LC50",150000,"ug/L","Zebra Danio","Fish",331.347
"20","aspirin","DTXSID5020108","LC50",274600,"ug/L","Zebra Danio","Fish",180.159
"21","aspirin","DTXSID5020108","LC50",567700,"ug/L","Zebra Danio","Fish",180.159
"22","sertraline","DTXSID6023577","LC50",143,"ug/L","Fathead Minnow","Fish",306.23
"23","sertraline","DTXSID6023577","LC50",143,"ug/L","Fathead Minnow","Fish",306.23
"24","sertraline","DTXSID6023577","LC50",191,"ug/L","Japanese Medaka","Fish",306.23
"25","sertraline","DTXSID6023577","LC50",380,"ug/L","Rainbow Trout","Fish",306.23
"26","sertraline","DTXSID6023577","LC50",191,"ug/L","Japanese Medaka","Fish",306.23
"27","sertraline","DTXSID6023577","LC50",380,"ug/L","Rainbow Trout","Fish",306.23
"28","gemfibrozil","DTXSID0020652","LC50",10870,"ug/L","Zebra Danio","Fish",250.338
"29","gemfibrozil","DTXSID0020652","LC50",11010,"ug/L","Zebra Danio","Fish",250.338
"30","gemfibrozil","DTXSID0020652","LC50",11140,"ug/L","Zebra Danio","Fish",250.338
"31","gemfibrozil","DTXSID0020652","LC50",11260,"ug/L","Zebra Danio","Fish",250.338
"32","gemfibrozil","DTXSID0020652","LC50",12620,"ug/L","Zebra Danio","Fish",250.338
"33","gemfibrozil","DTXSID0020652","LC50",12990,"ug/L","Zebra Danio","Fish",250.338
"34","gemfibrozil","DTXSID0020652","LC50",14610,"ug/L","Zebra Danio","Fish",250.338
"35","gemfibrozil","DTXSID0020652","LC50",16260,"ug/L","Zebra Danio","Fish",250.338
"36","gemfibrozil","DTXSID0020652","LC50",19090,"ug/L","Zebra Danio","Fish",250.338
"37","gemfibrozil","DTXSID0020652","LC50",19460,"ug/L","Zebra Danio","Fish",250.338
"38","gemfibrozil","DTXSID0020652","LC50",21020,"ug/L","Zebra Danio","Fish",250.338
"39","gemfibrozil","DTXSID0020652","LC50",21140,"ug/L","Zebra Danio","Fish",250.338
"40","gemfibrozil","DTXSID0020652","LC50",21960,"ug/L","Zebra Danio","Fish",250.338
"41","gemfibrozil","DTXSID0020652","LC50",21970,"ug/L","Zebra Danio","Fish",250.338
"42","gemfibrozil","DTXSID0020652","LC50",22430,"ug/L","Zebra Danio","Fish",250.338
"43","gemfibrozil","DTXSID0020652","LC50",23090,"ug/L","Zebra Danio","Fish",250.338
"44","gemfibrozil","DTXSID0020652","LC50",27470,"ug/L","Zebra Danio","Fish",250.338
"45","gemfibrozil","DTXSID0020652","LC50",851.149,"ug/L","Zebra Danio","Fish",250.338
"46","carbamazepine","DTXSID4022731","LC50",862,"ug/L","Fathead Minnow","Fish",236.274
"47","carbamazepine","DTXSID4022731","LC50",19900,"ug/L","Rainbow Trout","Fish",236.274
"48","carbamazepine","DTXSID4022731","LC50",45870,"ug/L","Japanese Medaka","Fish",236.274
"49","carbamazepine","DTXSID4022731","LC50",61500,"ug/L","Japanese Medaka","Fish",236.274
"50","carbamazepine","DTXSID4022731","LC50",63200,"ug/L","Japanese Medaka","Fish",236.274
"51","carbamazepine","DTXSID4022731","LC50",65300,"ug/L","Japanese Medaka","Fish",236.274
"52","carbamazepine","DTXSID4022731","LC50",72150,"ug/L","Japanese Medaka","Fish",236.274
"53","carbamazepine","DTXSID4022731","LC50",245000,"ug/L","Zebra Danio","Fish",236.274
"54","carbamazepine","DTXSID4022731","LC50",35400,"ug/L","Japanese Medaka","Fish",236.274
"55","carbamazepine","DTXSID4022731","LC50",50089.9,"ug/L","Zebra Danio","Fish",236.274
"56","carbamazepine","DTXSID4022731","LC50",118137,"ug/L","Zebra Danio","Fish",236.274
"57","carbamazepine","DTXSID4022731","LC50",19900,"ug/L","Rainbow Trout","Fish",236.274
"58","carbamazepine","DTXSID4022731","LC50",35400,"ug/L","Japanese Medaka","Fish",236.274
"59","carbamazepine","DTXSID4022731","LC50",45900,"ug/L","Japanese Medaka","Fish",236.274
"60","metronidazole","DTXSID2020892","LC50",1e+05,"ug/L","Rainbow Trout","Fish",171.156
"61","metronidazole","DTXSID2020892","LC50",1e+06,"ug/L","Rainbow Trout","Fish",171.156
"62","metronidazole","DTXSID2020892","LC50",1060000,"ug/L","Sheepshead Minnow","Fish",171.156
"63","omeprazole","DTXSID6021080","LC50",20725,"ug/L","Zebra Danio","Fish",345.42
"64","omeprazole","DTXSID6021080","LC50",31087.5,"ug/L","Zebra Danio","Fish",345.42
"65","omeprazole","DTXSID6021080","LC50",20700,"ug/L","Zebra Danio","Fish",345.42
"66","omeprazole","DTXSID6021080","LC50",31100,"ug/L","Zebra Danio","Fish",345.42
"67","diphenhydramine","DTXSID4022949","LC50",28089.6,"ug/L","Zebra Danio","Fish",255.361
"68","diphenhydramine","DTXSID4022949","LC50",51072,"ug/L","Zebra Danio","Fish",255.361
"69","diphenhydramine","DTXSID4022949","LC50",68947.1,"ug/L","Zebra Danio","Fish",255.361
"70","diphenhydramine","DTXSID4022949","LC50",28100,"ug/L","Zebra Danio","Fish",255.361
"71","diphenhydramine","DTXSID4022949","LC50",51100,"ug/L","Zebra Danio","Fish",255.361
"72","fenofibrate","DTXSID2029874","LC50",169,"ug/L","Fathead Minnow","Fish",360.83
"73","levofloxacin","DTXSID0041060","LC50",1e+05,"ug/L","Japanese Medaka","Fish",361.373
"74","simvastatin","DTXSID0023581","LC50",2680,"ug/L","Mummichog","Fish",418.574
"75","verapamil","DTXSID9041152","LC50",600,"ug/L","Fathead Minnow","Fish",454.611
"76","verapamil","DTXSID9041152","LC50",2720,"ug/L","Rainbow Trout","Fish",454.611
"77","verapamil","DTXSID9041152","LC50",2720,"ug/L","Rainbow Trout","Fish",454.611
"78","erythromycin","DTXSID4022991","LC50",1e+05,"ug/L","Japanese Medaka","Fish",733.937
"79","erythromycin","DTXSID4022991","LC50",349000,"ug/L","Striped Bass","Fish",733.937
"80","erythromycin","DTXSID4022991","LC50",665000,"ug/L","Striped Bass","Fish",733.937
"81","erythromycin","DTXSID4022991","LC50",349000,"ug/L","Striped Bass","Fish",733.937
"82","diclofenac","DTXSID6022923","LC50",10100,"ug/L","Japanese Medaka","Fish",296.15
"83","diclofenac","DTXSID6022923","LC50",10900,"ug/L","Japanese Medaka","Fish",296.15
"84","diclofenac","DTXSID6022923","LC50",12100,"ug/L","Japanese Medaka","Fish",296.15
"85","diclofenac","DTXSID6022923","LC50",14000,"ug/L","Japanese Medaka","Fish",296.15
"86","diclofenac","DTXSID6022923","LC50",50000,"ug/L","Zebra Danio","Fish",296.15
"87","diclofenac","DTXSID6022923","LC50",70980,"ug/L","Common Carp","Fish",296.15
"88","diclofenac","DTXSID6022923","LC50",1e+05,"ug/L","Zebra Danio","Fish",296.15
"89","amiodarone","DTXSID7022592","LC50",526,"ug/L","Fathead Minnow","Fish",645.32
"90","fluoxetine","DTXSID7023067","LC50",250.558,"ug/L","Zebra Danio","Fish",309.332
"91","phenytoin","DTXSID8020541","LC50",63068.1,"ug/L","Zebra Danio","Fish",252.273
"92","phenytoin","DTXSID8020541","LC50",71000,"ug/L","Clawed Frog","Amphibians",252.273
"93","phenytoin","DTXSID8020541","LC50",77900,"ug/L","Clawed Frog","Amphibians",252.273
"94","propranolol","DTXSID6023525","LC50",11400,"ug/L","Japanese Medaka","Fish",259.349
"95","propranolol","DTXSID6023525","LC50",24300,"ug/L","Japanese Medaka","Fish",259.349
"96","propranolol","DTXSID6023525","LC50",11400,"ug/L","Japanese Medaka","Fish",259.349
"97","propranolol","DTXSID6023525","LC50",24300,"ug/L","Japanese Medaka","Fish",259.349
"98","clarithromycin","DTXSID3022829","LC50",1e+05,"ug/L","Japanese Medaka","Fish",747.964
"99","fluconazole","DTXSID3020627","LC50",4910,"ug/L","Chinese Rare Minnow","Fish",306.277
"100","fluconazole","DTXSID3020627","LC50",4910,"ug/L","Chinese Rare Minnow","Fish",306.277
"101","ampicillin","DTXSID4022602","LC50",1e+06,"ug/L","Japanese Medaka","Fish",349.41
"102","nortriptyline","DTXSID9023384","LC50",2190,"ug/L","Zebra Danio","Fish",263.384
"103","nortriptyline","DTXSID9023384","LC50",3000,"ug/L","Zebra Danio","Fish",263.384
"104","nortriptyline","DTXSID9023384","LC50",4920,"ug/L","Zebra Danio","Fish",263.384
"105","nortriptyline","DTXSID9023384","LC50",7970,"ug/L","Zebra Danio","Fish",263.384
"106","nortriptyline","DTXSID9023384","LC50",13141,"ug/L","Zebra Danio","Fish",263.384
"107","nortriptyline","DTXSID9023384","LC50",13853,"ug/L","Zebra Danio","Fish",263.384
"108","nortriptyline","DTXSID9023384","LC50",30369,"ug/L","Zebra Danio","Fish",263.384
"109","indomethacin","DTXSID9020740","LC50",81920,"ug/L","Japanese Medaka","Fish",357.79
"110","indomethacin","DTXSID9020740","LC50",53669,"ug/L","Zebra Danio","Fish",357.79
"111","indomethacin","DTXSID9020740","LC50",139539,"ug/L","Zebra Danio","Fish",357.79
"112","indomethacin","DTXSID9020740","LC50",171741,"ug/L","Zebra Danio","Fish",357.79
"113","indomethacin","DTXSID9020740","LC50",53700,"ug/L","Zebra Danio","Fish",357.79
"114","indomethacin","DTXSID9020740","LC50",81900,"ug/L","Japanese Medaka","Fish",357.79
"115","indomethacin","DTXSID9020740","LC50",140000,"ug/L","Zebra Danio","Fish",357.79
