Pharmaceutical,Influent_concentration,Units,Sampling date,Sampling location,Sampling type,Reference
Codeine,178,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Codeine,193,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Morphine,320,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Morphine,529,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Hydrocodone,114,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Hydrocodone,29,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Hydromorphone,49,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Hydromorphone,36.2,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Oxycodone,86,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Oxycodone,47,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Tramadol,1357,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Tramadol,674,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Buprenorphine,66,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Buprenorphine,15.2,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Alprazolam,ND,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Alprazolam,ND,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Diazepam,ND,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Diazepam,ND,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Temazepam,32,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Temazepam,34.1,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Cyclobenzaprine,36,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Cyclobenzaprine,15.6,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Nortriptyline,30,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Nortriptyline,12,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Amphetamine,991,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Amphetamine,530,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Zolpidem,ND,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Zolpidem,ND,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Fluoxetine,159,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Fluoxetine,114,ng/L,Apr-June 2019,Intermountain western US state,24h composite,1
Amphetamine,103,ng/L,Apr-June 2019,Intermountain western US state,30d passive POCIS,1
Codeine,35.3,ng/L,Apr-June 2019,Intermountain western US state,30d passive POCIS,1
Morphine,19,ng/L,Apr-June 2019,Intermountain western US state,30d passive POCIS,1
Oxycodone,9.9,ng/L,Apr-June 2019,Intermountain western US state,30d passive POCIS,1
Temazepam,ND,ng/L,Apr-June 2019,Intermountain western US state,30d passive POCIS,1
Tramadol,303,ng/L,Apr-June 2019,Intermountain western US state,30d passive POCIS,1
Acetaminophen,25662,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Acetaminophen,38144,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Acetaminophen,23530,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Acetaminophen,547,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Amitriptyline,24,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Amitriptyline,13,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Amitriptyline,159,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Amitriptyline,7,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Azithromycin,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Azithromycin,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Azithromycin,441,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Azithromycin,14,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Bupropion,93,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Bupropion,129,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Bupropion,363,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Bupropion,45,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Carbamazepine,97,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Carbamazepine,96,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Carbamazepine,317,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Carbamazepine,75,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Ciprofloxacin,1226,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Ciprofloxacin,593,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Ciprofloxacin,2670,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Ciprofloxacin,420,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Citalopram,146,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Citalopram,99,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Citalopram,241,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Citalopram,53,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Clarithromycin,13,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Clarithromycin,115,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Clarithromycin,57,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Clarithromycin,17,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Diclofenac,74,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Diclofenac,50,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Diclofenac,31,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Diclofenac,18,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Erythromycin,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Erythromycin,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Erythromycin,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Erythromycin,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Fluoxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Fluoxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Fluoxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
