"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"1","metformin","DTXSID2023270","NOEC",1,"ug/L","Zebra Danio","Fish",129.167
"2","metformin","DTXSID2023270","NOEC",40,"ug/L","Zebra Danio","Fish",129.167
"3","gabapentin","DTXSID0020074","NOEC",8561980,"ug/L","Zebra Danio","Fish",171.24
"4","ibuprofen","DTXSID5020732","NOEC",0.01,"ug/L","Japanese Medaka","Fish",206.285
"5","ibuprofen","DTXSID5020732","NOEC",0.0664,"ug/L","Zebra Danio","Fish",206.285
"6","ibuprofen","DTXSID5020732","NOEC",0.1,"ug/L","Japanese Medaka","Fish",206.285
"7","ibuprofen","DTXSID5020732","NOEC",1,"ug/L","Japanese Medaka","Fish",206.285
"8","ibuprofen","DTXSID5020732","NOEC",100,"ug/L","Zebra Danio","Fish",206.285
"9","ibuprofen","DTXSID5020732","NOEC",152.6,"ug/L","Fathead Minnow","Fish",206.285
"10","ibuprofen","DTXSID5020732","NOEC",201,"ug/L","Zebra Danio","Fish",206.285
"11","ibuprofen","DTXSID5020732","NOEC",206.285,"ug/L","Rainbow Trout","Fish",206.285
"12","ibuprofen","DTXSID5020732","NOEC",213,"ug/L","Fathead Minnow","Fish",206.285
"13","ibuprofen","DTXSID5020732","NOEC",223.9,"ug/L","Channel Catfish","Fish",206.285
"14","ibuprofen","DTXSID5020732","NOEC",506,"ug/L","Zebra Danio","Fish",206.285
"15","ibuprofen","DTXSID5020732","NOEC",680,"ug/L","Fathead Minnow","Fish",206.285
"16","ibuprofen","DTXSID5020732","NOEC",1000,"ug/L","Japanese Medaka","Fish",206.285
"17","ibuprofen","DTXSID5020732","NOEC",2062.85,"ug/L","Topminnow","Fish",206.285
"18","ibuprofen","DTXSID5020732","NOEC",4125.69,"ug/L","Topminnow","Fish",206.285
"19","ibuprofen","DTXSID5020732","NOEC",10000,"ug/L","Zebra Danio","Fish",206.285
"20","ibuprofen","DTXSID5020732","NOEC",1,"ug/L","Zebra Danio","Fish",206.285
"21","ibuprofen","DTXSID5020732","NOEC",2.06285,"ug/L","Common Carp","Fish",206.285
"22","ibuprofen","DTXSID5020732","NOEC",5,"ug/L","Bluntnose Minnow","Fish",206.285
"23","ibuprofen","DTXSID5020732","NOEC",5157.12,"ug/L","Zebra Danio","Fish",206.285
"24","ibuprofen","DTXSID5020732","NOEC",20628.5,"ug/L","Common Carp","Fish",206.285
